text,class
"పవన్ కళ్యాణ్ ఫోటో మార్ఫింగ్‌పై కేసులు: ఆంధ్రప్రదేశ్ డిప్యూటీ సీఎం పవన్ కళ్యాణ్ ఫోటోలను మార్ఫింగ్ చేసి సోషల్ మీడియాలో పోస్ట్ చేసిన వారిపై చిత్తూరు, తిరుపతి, నెల్లూరు, బాపట్ల, విజయవాడ పోలీస్ స్టేషన్లలో కేసులు నమోదయ్యాయి.",1
"కేటీఆర్ హైకోర్టును ఆశ్రయించారు: తెలంగాణ రాష్ట్ర బీఆర్ఎస్ వర్కింగ్ ప్రెసిడెంట్ కేటీఆర్, బంజారాహిల్స్ మరియు ముషీరాబాద్ పోలీస్ స్టేషన్లలో తనపై నమోదైన కేసులను రద్దు చేయాలని హైకోర్టులో పిటిషన్ దాఖలు చేశారు.",1
"మంత్రి శ్రీధర్‌బాబు వ్యాఖ్యలు: తెలంగాణలో కాంగ్రెస్ ప్రభుత్వం పటిష్టంగా ఉందని, ఐదేళ్ల పాటు ఎలాంటి ప్రమాదం లేదని మంత్రి శ్రీధర్‌బాబు తెలిపారు.",1
PNB రుణాలపై వడ్డీ రేట్లు తగ్గింపు: పంజాబ్ నేషనల్ బ్యాంక్ (PNB) రిటైల్ రుణాలపై వడ్డీ రేట్లను 0.25% తగ్గించింది. ఈ నిర్ణయం ఫిబ్రవరి 10 నుండి అమల్లోకి వచ్చింది.,1
పాల శీతలీకరణ కేంద్రం సీజ్‌పై పాడి రైతుల నిరసన: రాజన్న సిరిసిల్ల జిల్లాలో పాల శీతలీకరణ కేంద్రం సీజ్ చేయడంపై పాడి రైతులు రోడ్డెక్కి నిరసన వ్యక్తం చేశారు.,1
ఇందిరమ్మ ఇళ్ల నిర్మాణానికి శ్రీకారం: తెలంగాణ ప్రభుత్వం పేదల కోసం ఇందిరమ్మ ఇళ్ల నిర్మాణ పనులను ప్రారంభించింది. నారాయణపేట జిల్లా అప్పకపల్లెలో సీఎం రేవంత్ రెడ్డి శంకుస్థాపన చేశారు.,1
గుండెపోటుతో టెన్త్ విద్యార్థిని మృతి: తెలంగాణ రాష్ట్రం కామారెడ్డి జిల్లాలో టెన్త్ తరగతి విద్యార్థిని శ్రీనిధి (14) స్కూల్‌కు వెళ్తూ గుండెపోటుతో మరణించింది.,1
రాజన్న సిరిసిల్లలో పాల శీతలీకరణ కేంద్రం సీజ్ వివాదం: కరీంనగర్ మిల్క్ డెయిరీ ఆధ్వర్యంలో ఏర్పాటు చేసిన పాల శీతలీకరణ కేంద్రం సీజ్ చేయడంపై పాడి రైతులు నిరసన వ్యక్తం చేశారు,1
"ఎంఎస్ ధోనీ రిటైర్మెంట్‌పై వ్యాఖ్యలు: ఇండియన్ ప్రీమియర్ లీగ్ (IPL) లో మాత్రమే పాల్గొంటున్న ఎంఎస్ ధోనీ, క్రికెట్‌ను ఇంకా కొంతకాలం ఆస్వాదించాలని, మరికొన్ని సంవత్సరాలు ఆడతానని తెలిపారు.",1
గుండెపోటుతో టెన్త్ విద్యార్థిని మృతి: తెలంగాణ రాష్ట్రం కామారెడ్డి జిల్లాలో టెన్త్ తరగతి విద్యార్థిని శ్రీనిధి (14) స్కూల్‌కు వెళ్తూ గుండెపోటుతో మరణించింది.,1
"కోబాలి' వెబ్ సిరీస్ విడుదల: రవి ప్రకాష్, శ్యామల, భరత్ రెడ్డి ప్రధాన పాత్రల్లో నటించిన 'కోబాలి' అనే తెలుగు క్రైమ్ డ్రామా వెబ్ సిరీస్ ఫిబ్రవరి 4, 2025న డిస్నీ+ హాట్‌స్టార్‌లో విడుదలైంది.",1
"దాకూ మహారాజ్' బాక్సాఫీస్ విజయాలు: నందమూరి బాలకృష్ణ ప్రధాన పాత్రలో నటించిన 'దాకూ మహారాజ్' చిత్రం సంక్రాంతి సందర్భంగా జనవరి 12, 2025న విడుదలై, ప్రపంచవ్యాప్తంగా రూ. 115 కోట్లకు పైగా వసూలు చేసింది.",1
"తండేల్' చిత్రం విడుదల: నాగ చైతన్య, సాయిపల్లవి జంటగా నటించిన 'తండేల్' చిత్రం ఫిబ్రవరి 7, 2025న విడుదలై, రూ. 100 కోట్లకు పైగా వసూలు చేసింది.",1
"రామం రాఘవం' విడుదల: సముద్రఖని, ధన్‌రాజ్ కొరనాని ప్రధాన పాత్రల్లో నటించిన 'రామం రాఘవం' చిత్రం ఫిబ్రవరి 28, 2025న విడుదల కానుంది",1
"కింగ్‌డమ్' టీజర్ విడుదల: విజయ్ దేవరకొండ ప్రధాన పాత్రలో నటిస్తున్న 'కింగ్‌డమ్' చిత్రం టీజర్ ఫిబ్రవరి 12, 2025న విడుదలైంది. ఈ చిత్రం మే 30, 2025న విడుదల కానుంది.",1
"బ్రహ్మ ఆనందం' చిత్రం విడుదల: బ్రహ్మానందం, రాజా గౌతమ్ ప్రధాన పాత్రల్లో నటించిన 'బ్రహ్మ ఆనందం' చిత్రం ఫిబ్రవరి 14, 2025న విడుదలైంది.",1
"కోబాలి' వెబ్ సిరీస్ విడుదల: రవి ప్రకాష్, శ్యామల, భరత్ రెడ్డి ప్రధాన పాత్రల్లో నటించిన 'కోబాలి' అనే తెలుగు క్రైమ్ డ్రామా వెబ్ సిరీస్ ఫిబ్రవరి 4, 2025న డిస్నీ+ హాట్‌స్టార్‌లో విడుదలైంది.",1
"దాకూ మహారాజ్' బాక్సాఫీస్ విజయాలు: నందమూరి బాలకృష్ణ ప్రధాన పాత్రలో నటించిన 'దాకూ మహారాజ్' చిత్రం సంక్రాంతి సందర్భంగా జనవరి 12, 2025న విడుదలై, ప్రపంచవ్యాప్తంగా రూ. 115 కోట్లకు పైగా వసూలు చేసింది.",1
తెలంగాణలో TGRTC సమ్మె: తెలంగాణ రాష్ట్ర రోడ్ ట్రాన్స్‌పోర్ట్ కార్పొరేషన్ (TGRTC) కార్మికులు ఫిబ్రవరి 9 నుండి సమ్మెకు సిద్ధమవుతున్నారు. పెండింగ్ సమస్యల పరిష్కారాన్ని డిమాండ్ చేస్తూ ఆందోళనలు ప్రారంభించనున్నారు.,1
"తెలంగాణలో ఎమ్మెల్సీ ఎన్నికలు: ఉత్తర తెలంగాణ పట్టభద్రుల ఎమ్మెల్సీ స్థానానికి నామినేషన్ల గడువు సమీపిస్తోంది. ఇప్పటికే 28 మంది నామినేషన్లు దాఖలు చేశారు, చివరి రోజున మరింత సంఖ్యలో నామినేషన్లు వచ్చే అవకాశం ఉంది.",1
"ఆదాయపు పన్ను పరిమితి పెంపు: కేంద్ర బడ్జెట్ 2025లో, ఆదాయపు పన్ను మినహాయింపు పరిమితిని రూ. 12 లక్షల వరకు పెంచారు. సీనియర్ సిటిజన్లకు TDS మినహాయింపు రూ. 50 వేల నుండి రూ. 1 లక్షకు పెంచారు.",1
"రిజర్వ్ బ్యాంక్ ద్రవ్య విధాన కమిటీ సమావేశం: రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా (RBI) ద్రవ్య విధాన కమిటీ ఫిబ్రవరి 4 నుండి 7 వరకు సమావేశమై, కీలక వడ్డీ రేట్లపై నిర్ణయం తీసుకోనుంది. ",1
కాళేశ్వరం మహా కుంభాభిషేకం: తెలంగాణలో కాళేశ్వర ముక్తీశ్వర స్వామి క్షేత్రంలో 42 ఏళ్ల తర్వాత మహా కుంభాభిషేకం ప్రారంభమైంది. ఈ కార్యక్రమం ఫిబ్రవరి 7 నుండి 9 వరకు జరుగుతుంది.,1
పారికి చెరువు ఆక్రమణల కూల్చివేత: మేడ్చల్ మల్కాజ్ గిరి జిల్లాలోని పారికి చెరువులో అక్రమ నిర్మాణాలను హైడ్రా బుల్డోజర్లతో కూల్చివేశారు. ,1
టీమిండియా vs బంగ్లాదేశ్: ఛాంపియన్స్ ట్రోఫీలో టీమిండియా తమ తొలి మ్యాచ్‌లో బంగ్లాదేశ్‌తో ఫిబ్రవరి 20న దుబాయ్‌లో తలపడనుంది.,1
మహిళల ప్రీమియర్ లీగ్‌లో ఢిల్లీ విజయం: మహిళల ప్రీమియర్ లీగ్‌లో ఢిల్లీ క్యాపిటల్స్ యూపీ వారియర్స్‌పై 7 వికెట్ల తేడాతో విజయం సాధించింది.,1
నిజామాబాద్‌లో బర్డ్ ఫ్లూ కలకలం: నిజామాబాద్ జిల్లాలోని పౌల్ట్రీ ఫార్మ్‌లలో కోళ్లు పెద్ద సంఖ్యలో మృతి చెందడంతో బర్డ్ ఫ్లూ అనుమానాలు వ్యక్తమవుతున్నాయి.,1
సంగారెడ్డిలో శస్త్రచికిత్స అనంతరం మృతి: గురక సమస్యకు శస్త్రచికిత్స చేయించుకున్న వ్యక్తి సంగారెడ్డిలో చికిత్స అనంతరం మృతి చెందాడు.,1
సీనియర్ నటి పుష్పలత కన్నుమూత: టాలీవుడ్ సీనియర్ నటి పుష్పలత చెన్నైలో తన నివాసంలో ఫిబ్రవరి 4న మృతి చెందారు.,1
"పోతుగడ్డ' చిత్రం విడుదల: రక్ష వీరమ్ దర్శకత్వంలో రూపొందిన 'పోతుగడ్డ' చిత్రం జనవరి 30, 2025న ఈటీవీ విన్‌లో విడుదలైంది. ",1
"సంచిక' ఫిబ్రవరి సంచిక విడుదల: తెలుగు సాహిత్య వేదిక 'సంచిక' ఫిబ్రవరి 2025 సంచికలో కథలు, కవితలు, వ్యాసాలు, ముఖాముఖి వంటి విభిన్న రచనలు ప్రచురించబడ్డాయి.",1
"చంద్రబాబు రాష్ట్రాన్ని మద్యాంధ్రప్రదేశ్‌గా మార్చేశారు: వైయ‌స్‌ జగన్‌మోహన్‌ రెడ్డి సీఎంగా విద్యాంధ్రప్రదేశ్ కోసం పనిచేస్తే, ప్రస్తుత సీఎం చంద్రబాబు రాష్ట్రాన్ని మద్యాంధ్రప్రదేశ్‌గా మార్చేశారని మాజీ మంత్రి ఆర్కే రోజా మండిపడ్డారు.",1
"తెలంగాణ రెవెన్యూ శాఖలో ప్రక్షాళన: తెలంగాణలో రెవెన్యూ శాఖ ప్రక్షాళనకు మంత్రి పొంగులేటి శ్రీనివాస్ రెడ్డి శ్రీకారం చుట్టారు. ఆయన పుట్టిన రోజునే 70 మంది డిప్యూటీ కలెక్టర్లు, స్పెషల్ డిప్యూటీ కలెక్టర్లను బదిలీ చేశారు. ",1
ఆడబిడ్డ నిధి పథకం 2024: ఆంధ్రప్రదేశ్ ప్రభుత్వం ఆడబిడ్డ నిధి పథకం ద్వారా 18-59 ఏళ్ల మహిళలకు ప్రతినెలా ₹1500 ఆర్థిక సహాయాన్ని అందిస్తుంది.,1
"రైతు భరోసా పథకం: తెలంగాణ ప్రభుత్వం దసరా, బతుకమ్మ పండుగలకు ముందే రైతులకు ఆర్థిక సహాయం అందించేందుకు అక్టోబర్ 1 నుండి ""రైతు భరోసా"" పథకాన్ని అమలు చేయనుంది.",1
"మహిళల ఆర్థిక సహాయం: తెలంగాణ మహాలక్ష్మి పథకం ద్వారా రాష్ట్రంలోని మహిళలకు నెలసరి ఆర్థిక సహాయం, రూ.500కు LPG సిలిండర్ వంటి ప్రయోజనాలు అందించబడుతున్నాయి.",1
"టీమిండియా వరల్డ్‌కప్ ఫైనల్‌కు చేరుకుంది: టీమిండియా వరల్డ్‌కప్ సెమీ ఫైనల్‌లో విజయం సాధించి, ఫైనల్‌కు చేరుకుంది.",1
పానీపూరి ఆరోగ్య సమస్యలు: పానీపూరి తినడం వల్ల ఆరోగ్య సమస్యలు ఏర్పడవచ్చని వైద్యులు హెచ్చరిస్తున్నారు. ,1
చెన్నకేశవ స్వామిని దర్శించుకున్న రాష్ట్ర వ్యవసాయ కమిషన్ సభ్యులు కేవీయన్ రెడ్డి: రాష్ట్ర వ్యవసాయ కమిషన్ సభ్యులు కేవీయన్ రెడ్డి చెన్నకేశవ స్వామిని దర్శించుకున్నారు.,1
"మంత్రుల ఎదుటే కొట్టుకున్న ఎమ్మెల్యేలు: కరీంనగర్‌లో మంత్రుల సమక్షంలోనే ఇద్దరు ఎమ్మెల్యేలు పరస్పరం గొడవపడ్డారు, ఇది రాజకీయ వర్గాల్లో చర్చనీయాంశంగా మారింది.",1
ఆడబిడ్డ నిధి పథకం 2024: ఆంధ్రప్రదేశ్ ప్రభుత్వం 18-59 ఏళ్ల మహిళలకు ప్రతినెలా ₹1500 ఆర్థిక సహాయం అందించే ఆడబిడ్డ నిధి పథకాన్ని ప్రారంభించింది.,1
"రైతు భరోసా పథకం: తెలంగాణ ప్రభుత్వం దసరా, బతుకమ్మ పండుగలకు ముందే రైతులకు ఆర్థిక సహాయం అందించేందుకు అక్టోబర్ 1 నుండి ""రైతు భరోసా"" పథకాన్ని అమలు చేయనుంది.",1
"మహిళల ఆర్థిక సహాయం: తెలంగాణ మహాలక్ష్మి పథకం ద్వారా రాష్ట్రంలోని మహిళలకు నెలసరి ఆర్థిక సహాయం, రూ.500కు LPG సిలిండర్ వంటి ప్రయోజనాలు అందించబడుతున్నాయి.",1
హైకోర్టు కీలక ఆదేశాలు: తెలంగాణ హైకోర్టు 16 ఏళ్లలోపు పిల్లలను రాత్రి 11 గంటల నుండి ఉదయం 11 గంటల వరకు థియేటర్లలోకి అనుమతించవద్దని ఆదేశించింది,1
"రూ. 5,000 నోటు విడుదలపై స్పష్టత: 2025లో రూ. 5,000 నోటు విడుదలవుతుందనే సోషల్ మీడియా ప్రచారంపై, రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా (RBI) పెద్ద నోట్ల విడుదలకు ఎలాంటి ప్రణాళికలు లేవని స్పష్టం చేసింది。",1
నాగోబా జాతర ప్రారంభం: తెలంగాణలో కేస్లాపూర్‌లోని నాగోబా జాతర జనవరి 28 నుండి ఫిబ్రవరి 2 వరకు జరుగుతోంది. ఈ ఆదివాసీ పండుగలో మెస్రం వంశీయులు ప్రత్యేక పూజలు నిర్వహిస్తున్నారు。,1
"పూణేలో గులియన్-బారే సిండ్రోమ్ కేసులు: మహారాష్ట్రలోని పూణేలో అరుదైన న్యూరోలాజికల్ వ్యాధి గులియన్-బారే సిండ్రోమ్ కేసులు పెరుగుతున్నాయి, ఇప్పటికే 59 కేసులు నమోదయ్యాయి。",1
"అమెరికాలో మంచు తుపాను ప్రభావం: అమెరికాలో పెను మంచు తుపాను కారణంగా 6 కోట్ల మందికి పైగా ప్రజలు ప్రభావితమయ్యారు, ఏడు రాష్ట్రాల్లో అత్యవసర పరిస్థితి ప్రకటించారు。",1
"నిదురించు జహాపనా' చిత్రం విడుదల: ఆనంద్ వర్ధన్, నవామి గాయక్, రోష్ని సహోటా ప్రధాన పాత్రల్లో నటించిన 'నిదురించు జహాపనా' చిత్రం ఫిబ్రవరి 14, 2025న విడుదలైంది。",1
"ఫిబ్రవరి 22, 2025న జరిగిన ఛాంపియన్స్ ట్రోఫీ 2025లో ఆఫ్ఘనిస్తాన్ మరియు సౌత్ ఆఫ్రికా జట్ల మధ్య మ్యాచ్‌లో, సౌత్ ఆఫ్రికా విజయం సాధించింది. ఈ మ్యాచ్‌లో, ఆఫ్ఘనిస్తాన్ జట్టు తొలుత బ్యాటింగ్ చేసి, నిర్ణీత ఓవర్లలో 162 పరుగులు చేసింది. సౌత్ ఆఫ్రికా జట్టు ఈ లక్ష్యాన్ని సులభంగా చేధించి, విజయాన్ని అందుకుంది.",1
"పూణేలో గులియన్-బారే సిండ్రోమ్ కేసులు: మహారాష్ట్రలోని పూణేలో అరుదైన న్యూరోలాజికల్ వ్యాధి గులియన్-బారే సిండ్రోమ్ కేసులు పెరుగుతున్నాయి, ఇప్పటికే 59 కేసులు నమోదయ్యాయి。",1
అమెరికాలో మంచు తుపాను ప్రభావం: అమెరికాలో పెను మంచు తుపాను కారణంగా 6 కోట్ల మందికి పైగా ప్రజలు ప్రభావితమయ్యారు.,1
"రామం రాఘవం' విడుదల: సముద్రఖని, ధన్‌రాజ్ కొరనాని ప్రధాన పాత్రల్లో నటించిన 'రామం రాఘవం' ",1
ఎంఎస్ ధోనీ రిటైర్మెంట్‌పై వ్యాఖ్యలు: ఇండియన్ ప్రీమియర్ లీగ్ (IPL) లో మాత్రమే పాల్గొంటున్న ఎంఎస్ ధోనీ.,1
"రక్ష వీరమ్ దర్శకత్వంలో రూపొందిన 'పోతుగడ్డ' చిత్రం జనవరి 30, 2025న ఈటీవీ విన్‌లో విడుదలైంది. ",1
చెన్నకేశవ స్వామిని దర్శించుకున్న రాష్ట్ర వ్యవసాయ కమిషన్ సభ్యులు కేవీయన్ రెడ్డి,1
